债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
23渝水投MTN001,103.07,1.81,-1.77,1.805,4.8
23进出10,108.05,1.85,0.25,1.8502,4.8
25附息国债21,93.36,2.5149,-0.01,2.5208,4.77
20附息国债12,126.58,2.3733,1.33,2.3674,4.7038
24附息国债16,100.49,1.27,0.25,1.27,4.7
21附息国债14,122.27,2.3651,1.51,2.3662,4.6007
19国开10,106.16,1.651,0.1,1.654,4.6
25中国银行CD040,98.43,1.5275,0.11,1.5256,4.5
26高淳经开MTN002,100.0,2.08,,2.08,4.5
21工商银行永续债01,100.59,1.5602,-4.34,1.5602,4.5
25渝富MTN001,100.53,1.97,1.0,1.9647,4.5
24附息国债10,100.66,1.28,1.0,1.28,4.5
23附息国债25,100.82,1.165,-0.5,1.1698,4.44
21建设银行二级01,100.75,3.2942,0.04,3.2941,4.44
25农业银行CD109,98.12,1.4407,0.05,1.4312,4.4
26广东债22,99.37,2.51,0.25,2.5091,4.4
18农发06,106.42,1.6075,1.0,1.6078,4.4
23国开10,106.4,1.86,0.5,1.8591,4.3
24附息国债04,104.63,1.725,-0.25,1.7279,4.266
24西藏07,102.47,1.9025,0.5,1.9012,4.2
21国开20,116.1,2.2575,-0.25,2.2583,4.2
24广东债42,105.07,2.3725,1.0,2.3725,4.2
26陕西债03,98.64,2.515,-0.25,2.5138,4.2
22工商银行二级03,102.0,3.1341,-0.03,3.1334,4.2
23农发13,100.42,1.4649,1.0,1.465,4.2
25附息国债08,100.02,1.1695,-2.08,1.1856,4.2
24附息国债14,101.59,1.42,-0.15,1.4224,4.1685
24附息国债03,100.77,1.225,1.5,1.2263,4.123
25国开科创01清发,99.46,1.605,1.02,1.601,4.1
26河南债12,99.35,2.511,0.1,2.5078,4.1
26南通城建MTN001,100.0,1.97,,1.97,4.1
23贵州债28,103.47,1.4675,-0.93,1.4678,4.1
25建设银行CD136,98.09,1.4326,1.0,1.4352,4.08
25中信银行CD405,99.61,1.4412,1.17,1.438,4.0
22工商银行二级01,101.41,3.0135,-0.01,3.0136,4.0
25中信银行CD102,98.12,1.4302,0.06,1.4297,4.0
26国开14,100.14,1.6388,-1.34,1.6411,4.0
24浙江04,104.45,1.8275,,1.8275,4.0
26兴业银行CD018,99.62,1.51,1.02,1.5101,4.0
25江苏债37,95.29,2.344,0.15,2.345,4.0
25浦发银行CD283,98.44,1.535,0.51,1.535,4.0
25中国银行CD037,98.44,1.5249,-3.5,1.5249,4.0
25建设银行CD337,98.43,1.5249,1.0,1.5249,4.0
25齐鲁银行CD080,98.76,1.4412,,1.4412,4.0
26建设银行CD030,98.86,1.5351,0.51,1.5351,4.0
26光大银行CD006,98.45,1.56,1.0,1.56,4.0
25建设银行CD193,98.3,1.5096,-0.02,1.5098,4.0
26中信银行CD036,98.46,1.56,0.25,1.56,4.0
25华夏银行CD121,98.29,1.5148,1.02,1.5148,4.0
25工商银行CD254,98.42,1.5249,1.49,1.5249,4.0
25宁波银行CD289,99.6,1.5811,14.14,1.5802,4.0
25唐山银行二级资本债01,100.08,2.5397,0.53,2.5509,4.0
